Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,Unpolarized capacitor,C_Small,C1,100n,C_0402,1,
2,Unpolarized capacitor,C_Small,C2,4.7u,C_0402,1,
5,ToF sensor,VL53L1X,U1,VL53L1X,VL53L1X,1,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Component Groups:,5,,,,,,
Component Count:,5,,,,,,
Fitted Components:,5,,,,,,
Number of PCBs:,1,,,,,,
Total components:,5,,,,,,
